Bare;;Forest;;Grass;;Rip;
2050;0,01;1150;0,01;1150;0,01;1150;0,07
2150;0,03;1250;0,03;1250;0,01;1250;0,1
2250;0,05;1350;0,05;1350;0,03;1350;0,12
2350;0,1;1450;0,06;1450;0,03;1450;0,07
2450;0,15;1550;0,1;1550;0,02;1550;0,05
2550;0,18;1650;0,12;1650;0,01;1650;0,04
2650;0,17;1750;0,14;1750;0,01;1750;0,06
2750;0,14;1850;0,17;1850;0,03;1850;0,08
2850;0,09;1950;0,16;1950;0,07;1950;0,08
2950;0,05;2050;0,11;2050;0,12;2050;0,13
3050;0,02;2150;0,04;2150;0,18;2150;0,04
3150;0,01;2250;0,01;2250;0,19;2250;0,03
;;;;2350;0,15;2350;0,03
;;;;2450;0,09;2450;0,03
;;;;2550;0,04;2550;0,04
;;;;2650;0,01;2650;0,03
